city,variant,seed,sparsification_pct,max_stretch,n_repairs,scc_connected,_source_file
Rome,E_Fuzzy_Pruning,3,17.36216118621499,1.4712940692135106,13961,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,3,17.36216118621499,1.449420773517546,14998,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),3,17.36216118621499,1.454549433078726,14486,True,fuzzy_pruning_20260705_145812.csv
Rome,E_Fuzzy_Pruning,4,17.298968606829312,1.4759726576424068,13877,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,4,17.298968606829312,1.4217645262438456,14945,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),4,17.298968606829312,1.3891493950107408,14417,True,fuzzy_pruning_20260705_145812.csv
Rome,E_Fuzzy_Pruning,5,17.358775869462185,1.4948441760209783,13945,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,5,17.358775869462185,1.4748496174434234,15006,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),5,17.358775869462185,1.4948441760209783,14484,True,fuzzy_pruning_20260705_145812.csv
Rome,E_Fuzzy_Pruning,6,17.252702611207653,1.4941393032354373,13902,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,6,17.252702611207653,1.393488122074106,14906,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),6,17.252702611207653,1.4897932085476184,14311,True,fuzzy_pruning_20260705_145812.csv
Rome,E_Fuzzy_Pruning,7,17.274142950642084,1.4886608864156543,13869,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,7,17.274142950642084,1.1970563761793886,14927,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),7,17.274142950642084,1.4886608864156543,14364,True,fuzzy_pruning_20260705_145812.csv
Rome,E_Fuzzy_Pruning,8,17.331693335439752,1.404239605657024,13943,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,8,17.331693335439752,1.4476996117285372,14977,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),8,17.331693335439752,1.4929750951082974,14419,True,fuzzy_pruning_20260705_145812.csv
Rome,E_Fuzzy_Pruning,9,17.341849285698167,1.460301216211432,13947,True,fuzzy_pruning_20260705_145812.csv
Rome,C_GA_Threshold_plus_Feedback,9,17.341849285698167,1.1779951412976717,14986,True,fuzzy_pruning_20260705_145812.csv
Rome,D_Random_Pruning(matched),9,17.341849285698167,1.390534061617633,14443,True,fuzzy_pruning_20260705_145812.csv
Paris,E_Fuzzy_Pruning,0,26.873847185735844,1.4358471997220716,4627,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,0,26.873847185735844,1.1933104790768705,4748,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),0,26.873847185735844,1.4592412852437522,4650,True,fuzzy_pruning_20260705_150416.csv
Paris,E_Fuzzy_Pruning,1,27.019171650550557,1.4694958525086417,4658,True,fuzzy_pruning_20260705_150416.csv
Paris,C_GA_Threshold_plus_Feedback,1,27.019171650550557,1.4989270118622346,4772,True,fuzzy_pruning_20260705_150416.csv
Paris,D_Random_Pruning(matched),1,27.019171650550557,1.476442428199906,4674,True,fuzzy_pruning_20260705_150416.csv
