node_u,node_v,length
42595095,42595357,24.25519216907584
42595097,42593798,81.75057002191463
42595097,42595947,60.52639130764459
42570523,42570881,112.32449556180184
42593052,42591379,100.56695690163215
42593052,42593912,32.42686331086399
42595100,42594026,51.86958730163388
42566448,42566562,30.81768090082477
42566448,42566834,63.67172466964331
42588979,42588149,45.01512798290521
42588979,42590039,74.40775889824332
42601267,42601744,35.639000045587906
42595130,8563512336,9.828366941174272
42595130,8563512342,15.594078268045145
42576704,42577055,67.10679894298082
42605383,42605908,102.8944043540588
42601288,42601643,64.41779148697587
42599245,42599665,51.83852513982727
42576732,42577868,56.67618773157815
42593119,42593238,4.904341113433613
42593119,42593418,64.76103147177098
42605408,42605683,50.71942211725469
42578786,42578889,32.498789765845444
42591084,42589229,75.61829091730854
42591084,5155642688,14.91056087694517
42562419,42561497,47.547179544877885
42562419,59935910,48.56858464384658
42589048,42587286,78.04872343195498
42589048,42590057,41.52587232487345
42603396,42601643,74.60093717912497
42603396,42603847,74.56254660769059
42597259,42596106,83.26178670129896
42595227,42593913,58.68891208312659
42595227,42595755,55.59183694175995
42591135,5155642688,76.36736123112146
42591135,42591290,13.386411794836578
42566562,42566723,37.97629776061193
42574765,42574957,59.97291016280883
42574765,42574768,1.6749933460823492
42574768,42574770,67.79302733800913
42601392,42600135,64.36943148656748
42601392,42602118,28.35952270613309
42574770,42575012,65.12413364282006
42597316,42595755,77.70368452682573
42597316,42598169,73.16584871354662
42597316,42598357,45.99355048545464
42578885,42576996,96.98587780082435
42578885,42579548,79.00589537044138
42578887,42579095,65.40831122245547
42582984,42583187,71.98092531811864
6356290505,6356290506,72.66210398455839
6356290505,42603578,92.1239236673045
6356290505,42605954,60.38391980283153
6356290506,42606289,58.71306522777397
42570703,42569486,47.87426493807066
42570703,10869274447,12.062104955796157
42599377,42598355,55.6773425104104
42593238,42593610,43.75128056832235
3270216664,42591713,23.18973104754933
10869222372,10869222373,5.329487414712601
10869222372,1281560552,49.577857475220966
10869222373,29365651,11.02497002420897
10869222373,10869222376,4.679075637514528
42609639,42609679,16.717844831928794
10869222376,29365651,12.584313034567725
10869222376,42569153,59.071470545368896
42593257,42591590,87.7454011586758
42580976,42581157,44.037722260014704
42580977,1266468189,35.218338177817095
42595312,42594075,51.49925145816865
3860894709,918144437,7.609182893175232
1012358140,5229043604,79.45566726467348
1012358140,42591713,12.850593889019184
1012358140,42591910,16.352102564273196
4838683655,42571733,101.21024591419383
8563512342,1012358598,78.00667973091669
42595357,42595558,18.16958549443936
42574896,42575349,70.97587190874228
42603578,42605683,99.7364245896911
42603579,42602314,59.01817158634948
42603579,42603881,62.97332672774196
42566723,42566803,57.97503342082977
42579019,42579114,21.000347988202947
42593366,42591986,59.87429369417892
42593366,42594075,82.91444678501408
42576996,42575732,65.84247198999147
42576996,42577336,34.51116852422636
42560612,59935918,11.046991308621909
42574957,42575176,65.04607185394788
42601585,42600134,89.75880099636517
42601585,42602255,47.17533601013808
42601586,42602071,84.7291993276873
42605683,42605858,32.21468560799603
42593418,42594026,29.685316639221217
42595473,42596106,62.31326323431647
42595473,42597748,106.0581678527908
42591379,42590039,72.83150458594255
42566803,42566812,8.341443411799814
42579095,42579284,65.90585237898415
42579095,42581157,88.3468668535191
42587286,42587499,15.91229989061351
42583187,42583485,80.53626535253288
42566812,42566837,38.289235136381855
42577055,42577338,67.70671506877554
42575012,42573243,65.52475433130004
42575012,42575506,71.81669319731976
59935908,59935914,51.664637181833896
59935908,59935910,17.83779530439265
42585257,42585431,43.71187035212098
42601643,42600297,69.81652178827397
59935914,59935918,76.01383573294797
42566834,42569170,87.67951823025619
42566837,42569416,97.92621320078902
42591419,42591986,27.401952408222613
42587340,29658357,73.53879096678138
42587340,42587812,65.96526998560022
42603727,42602071,74.48900418558543
42603727,42604047,61.39607469796489
42603727,6359350872,54.34907408840105
2806088916,29654546,20.106217916762223
2806088916,2806088917,57.09795743559949
42577117,42575219,100.63885309577392
42577117,42577394,15.898113225239529
42599645,42600106,60.74457266512383
42599645,42600297,32.87351013791995
42597601,42597749,56.84401157116258
42595558,42596018,28.7224688412592
42599665,42600135,65.51972877631451
42601744,42603859,103.24676487044756
42560787,42560910,74.73458768400047
