node_u,node_v,length,u_degree,v_degree,dx,dy,edge_centrality,u_pagerank,v_pagerank,is_spanner_edge,predicted
29654546,2806088916,20.106217916762223,3,3,19.203350924886763,6.154549978673458,0.426414625087915,0.0001289768969603,0.0001025612188516,1,1
29654546,6817370223,98.37546161806996,3,4,-29.357152876560576,93.94103550724684,0.1207541560523224,0.0001289768969603,0.0001765447598254,1,1
42568013,2806088917,18.772493315957465,3,3,18.34260119253304,4.255074460059404,0.4551777995917448,0.000112796698311,0.0001366066083239,1,1
42568013,2666215168,76.31127446703121,3,3,-5.413879197672941,-59.394713105633855,0.1164125163120675,0.000112796698311,0.0001527385491914,1,1
2806088916,2806088917,57.09795743559949,3,3,14.402741407044232,-55.28971578273922,0.1549107816738021,0.0001025612188516,0.0001366066083239,0,1
2806088916,3270197377,40.85342798716624,3,3,38.54771979036741,13.883720981888471,0.2150361495540991,0.0001025612188516,0.0001372475398039,1,1
6817370223,6817370222,4.910546421421504,4,3,-1.537471191259101,4.667406640946865,2.0302691400085418,0.0001765447598254,0.000119444903732,1,1
6817370223,42570703,108.01843737239216,4,3,-104.72192221484148,-27.55042485333979,0.1100731242276903,0.0001765447598254,0.0001334281188956,0,1
29658357,42587340,73.53879096678138,3,3,12.322081164107658,72.54619006160647,0.1207425004251933,0.0001628506292114,0.0001226805480087,1,1
29658357,9981501860,65.99934841038231,3,3,-63.99424455326516,13.969014986418188,0.1343296645942507,0.0001628506292114,0.0001242781067148,1,1
42587340,42587046,39.30650969090763,3,3,36.99792800552677,-13.591872422024608,0.2232889939867511,0.0001226805480087,0.0001334201452153,1,1
42587340,42587812,65.96526998560022,3,3,-63.62042826612014,18.111561983823776,0.1343980245571369,0.0001226805480087,0.0001540458558136,1,1
9981501860,42584171,80.67425676481639,3,3,8.41581590718124,-79.00387292727828,0.1101938402196396,0.0001242781067148,0.0001345195854505,1,1
9981501860,11880620758,37.5301373835621,3,1,-35.605152926873416,7.072626465931535,0.0778611290724302,0.0001242781067148,4.044554333408196e-05,1,1
42583858,42584171,88.68528505748559,3,3,-72.99740168394055,11.823394826613368,0.100350910344225,0.0001838270696703,0.0001345195854505,1,1
29658374,2804225901,25.017639371865418,3,1,24.627713346038945,4.818848271854222,0.1153063872214362,0.0001936322711508,3.181024590332345e-05,1,1
42578351,42578673,37.6779774663419,3,3,32.98105532606132,16.136889622546732,0.2326905538903093,0.0001272757400874,0.0001064648983182,1,1
42578351,42578109,69.72717138028474,3,4,-69.09945924347267,-10.818204070441425,0.1696660528876319,0.0001272757400874,0.0001696629582708,1,1
42573764,42574050,64.46071592482093,3,3,63.92165388504509,7.815728969871998,0.1374870389492248,0.0002587092546046,0.0001531183132581,1,1
29658633,122023312,44.7670429099582,1,3,37.81810407224111,-24.148024521768093,0.0655493518753698,4.776011852094579e-05,0.000170678658446,1,1
122023312,122023295,109.8037262753776,3,3,-78.55436693446245,-77.02705453895032,0.0812247051839442,0.000170678658446,0.0001742277246204,1,1
122023312,122023286,71.37135022542624,3,3,60.85044781898614,-37.61600122880191,0.1243586028444447,0.000170678658446,0.0001077570679699,1,1
29658722,42598889,49.22102409934125,3,3,-38.41532642650418,30.806474423967305,0.1792078150815338,0.0001283117970147,0.0001195510447187,1,1
29658722,122023313,95.48149809694712,3,3,80.67319148033857,-51.48351999651641,0.0932821336475991,0.0001283117970147,0.0001202332345881,1,1
42598889,42600258,97.36826401929872,3,4,71.9289632437285,65.79097075294703,0.1219905639246183,0.0001195510447187,0.000173637435577,1,1
42599939,42600258,49.355696133916425,3,4,-48.58108682115562,9.517126987688243,0.2383047186575891,0.0001436782844791,0.000173637435577,1,1
42599939,243352994,129.69469208022522,3,2,25.1828146079788,127.3140856390819,0.0459085208779326,0.0001436782844791,8.517177481779157e-05,1,1
122023313,2947523210,75.02654210628242,3,3,63.54321532265749,-40.21609711647034,0.1183797099099722,0.0001202332345881,0.0001629314519385,1,1
122023313,122023286,78.46622109762808,3,3,-42.57473630446475,-66.04034740384668,0.1132556685807806,0.0001202332345881,0.0001077570679699,1,1
29658984,42562937,26.332322528030424,3,3,-3.770937117165886,26.07557479571551,0.3292804696992042,0.0001401344468828,0.0001201749134393,1,1
42562937,42564411,67.80960463140765,3,3,-17.203940185252577,65.63624801579863,0.1307956941216315,0.0001201749134393,0.0001523002244229,1,1
42558335,42557763,52.62516793401516,3,3,-38.478828002815135,-36.053996466100216,0.1678316422444465,0.0001749725430691,0.0001976863276715,1,1
