node_u,node_v,length,u_degree,v_degree,dx,dy,edge_centrality,u_pagerank,v_pagerank,is_spanner_edge,city
42658125,42648022,444.97397545122146,4,3,-143.6740654100431,-417.61121253296733,0.026907399670258347,0.0002536301650577616,0.00016868703328515888,0,Eindhoven
42655223,9858681934,48.085484534011876,3,3,6.126886591664515,-47.51370568294078,0.18335359394820275,0.00011619752260131765,7.852148967848002e-05,1,Eindhoven
42655223,9858681934,48.86394557579555,3,3,6.126886591664515,-47.51370568294078,0.18049113234169517,0.00011619752260131765,7.852148967848002e-05,0,Eindhoven
25654437,42649016,115.01130763152909,3,1,-3.825112136430107,115.00557059701532,0.025859548187565397,0.00024401825234355716,8.027006664077454e-05,1,Eindhoven
25680578,25703367,127.6426174831214,3,1,-4.869737249799073,127.61587427929044,0.023320421013616394,0.0001759454201030103,6.406950490194725e-05,1,Eindhoven
25680578,42658023,250.58949775408036,3,3,251.23037977551576,8.585699257440865,0.03577255839509316,0.0001759454201030103,0.00018355812010400317,1,Eindhoven
25680578,3347620644,58.922529982723276,3,3,2.177925452007912,-58.913127650506794,0.15019392543330295,0.0001759454201030103,0.0001365408778647397,1,Eindhoven
42658023,42654488,118.97015173873626,3,3,3.274418003973551,-118.98751052003354,0.07501865980464587,0.00018355812010400317,0.00010983615212072236,1,Eindhoven
42658023,42657957,76.82194242279674,3,3,77.01873385184444,2.6243352722376585,0.11564861682716863,0.00018355812010400317,0.00014485431998181395,1,Eindhoven
3347620644,1834245031,133.72200210236713,3,4,32.27911931637209,-123.03218347765505,0.08907231048186118,0.0001365408778647397,0.00018464449657971545,1,Eindhoven
3347620644,3347620643,147.7210007646588,3,3,-148.10723693447653,-4.80219915881753,0.06051599944678901,0.0001365408778647397,0.00021274807516572324,1,Eindhoven
25685686,42654488,77.1356999658268,3,3,-77.33772378275171,-2.5015742676332593,0.11518422441900711,0.00010000920272906032,0.00010983615212072236,1,Eindhoven
25685686,12861674158,11.545055756150491,3,3,11.554026574129239,0.79453045129776,0.7174141091870039,0.00010000920272906032,0.00011494662511981645,1,Eindhoven
25685686,42657957,119.10195998428553,3,3,-3.5934079348808154,119.11027152463794,0.07493632910884705,0.00010000920272906032,0.00014485431998181395,1,Eindhoven
42654488,42653407,65.1051884909676,3,3,2.113493658020161,-65.10464309900999,0.13614665059505474,0.00010983615212072236,0.00012655092215964423,1,Eindhoven
12861674158,42656899,199.71827089864692,3,4,183.8803933467716,75.38807799853384,0.05978528983073705,0.00011494662511981645,0.00014612306989589038,0,Eindhoven
12861674158,5229130130,196.7438424663404,3,4,176.69779308489524,87.34349295310676,0.06068456974604718,0.00011494662511981645,8.421984811073986e-05,1,Eindhoven
42657957,25703376,106.06500914789703,3,1,106.33630459010601,3.6363525670021772,0.028020359068534447,0.00014485431998181395,6.340673453761211e-05,1,Eindhoven
26187199,42661269,99.12789675339882,3,3,-30.166977383429185,94.50109732709825,0.08988503995211003,0.00015234448871237835,0.0001146229513650382,1,Eindhoven
26187199,42657700,127.3805795522006,3,1,-120.99975923704915,-40.98834183253348,0.023368020384891434,0.00015234448871237835,5.5651447362955145e-05,1,Eindhoven
26187199,42662634,222.56456190995863,3,3,138.53483416023664,150.11732388474047,0.04025682748245574,0.00015234448871237835,0.00014048298414215266,0,Eindhoven
42661269,42662634,177.1121002190856,3,3,168.70181154366583,55.61622655764222,0.05052997516131476,0.0001146229513650382,0.00014048298414215266,1,Eindhoven
42661269,42660625,95.46601838855138,3,3,-90.93044368899427,-29.984734621830285,0.09329710244439947,0.0001146229513650382,0.00022493291420275542,1,Eindhoven
42662634,42662921,41.63514764224126,3,3,39.655790313263424,13.081100655719638,0.21109344045247652,0.00014048298414215266,8.950545722257402e-05,1,Eindhoven
26370769,55006152,24.13081617163051,3,3,18.03271656134166,-16.103496313095093,0.3581260528322933,0.00012292985031119765,0.00017498829137997099,1,Eindhoven
26370769,42636679,104.35611947785013,3,3,-101.5373492394574,3.8097507562488317,0.08542455857907848,0.00012292985031119765,0.00015864398286151072,1,Eindhoven
26370769,57224159,57.513902857143535,3,3,-10.759772066958249,56.504802971147,0.15380960012140527,0.00012292985031119765,7.823106988924573e-05,1,Eindhoven
55006152,5229124060,37.229450883988754,3,3,9.054957886924967,-36.13609142322093,0.23542059307394805,0.00017498829137997099,7.093909295710801e-05,1,Eindhoven
55006152,55006186,427.2251356474022,3,3,-170.74502496351488,389.155844704248,0.02101698207507964,0.00017498829137997099,0.0002878881681286194,0,Eindhoven
42636679,42636408,44.445228935932825,3,3,-39.27836147719063,-12.184379488229752,0.19804059107476168,0.00015864398286151072,9.44010009283791e-05,1,Eindhoven
42636679,42638380,68.96135097266156,3,3,18.0650384190958,66.6069044470787,0.12864245579701403,0.00015864398286151072,0.00014254421609401606,1,Eindhoven
26504206,42672402,853.4149411109217,1,4,-668.6365819573402,55.214847976341844,0.0046815660723338315,0.00016510211779171348,0.00020476744151665937,1,Eindhoven
42672402,42672310,5.129907155568758,4,3,-4.050395128782839,-3.1667349226772785,1.957615294237942,0.00020476744151665937,6.558576078383678e-05,1,Eindhoven
42672402,42675109,122.55070684791076,4,3,-75.1568871110212,96.10866656620055,0.09712611369169936,0.00020476744151665937,6.917387744062687e-05,0,Eindhoven
42672402,42670787,65.17747004740315,4,3,31.455112801282667,-57.16390533000231,0.18133059470850668,0.00020476744151665937,7.7419529907397e-05,0,Eindhoven
26623304,42647972,129.3468220113443,3,3,124.97723549080547,32.29172701947391,0.06904656255613746,0.00014453884751700166,0.000200928808777675,1,Eindhoven
26623304,42643754,144.49400499422185,3,3,54.524021047051065,-133.65843215212226,0.061858218834222246,0.00014453884751700166,0.0001496140118416551,1,Eindhoven
26623304,8898937834,30.87428310330983,3,4,-30.339279619627632,-5.9735928270965815,0.3764790555792585,0.00014453884751700166,9.497540298444382e-05,1,Eindhoven
42647972,42647289,303.2460591298965,3,3,242.12812273344025,-14.11267604958266,0.02958131988870722,0.000200928808777675,0.00014237524832679284,0,Eindhoven
42647972,42646039,78.26680352163378,3,3,15.549811914446764,-76.56553192064166,0.1135405945509546,0.000200928808777675,7.652264945356028e-05,1,Eindhoven
42643754,42644564,74.33567169528854,3,3,68.70102481928188,28.93317017145455,0.11946531832094696,0.0001496140118416551,0.00011822636786621983,1,Eindhoven
42643754,42642950,95.55379980471434,3,3,-87.53635119041428,-38.95222416892648,0.09321228183875747,0.0001496140118416551,0.0001227458534487671,1,Eindhoven
26626695,2104338264,6.034478815511555,4,3,-0.5114264416042715,6.01600244641304,1.7058833091570476,0.00027517833456772715,0.00018829778231807323,1,Eindhoven
26626695,42677107,506.61064781754885,4,4,490.5125452434877,-88.57857838552445,0.031520221391713,0.00027517833456772715,0.0001536776657359954,1,Eindhoven
26626695,42663202,728.4629086606088,4,3,-302.78647121740505,-657.1224006209522,0.01645045945109615,0.00027517833456772715,0.00025955633347108227,1,Eindhoven
26626695,2104355105,310.5273205977651,4,3,-308.8720412388211,-39.26930276490748,0.038519896030223454,0.00027517833456772715,7.487623808322366e-05,0,Eindhoven
2104338264,42679396,309.73308834525056,3,3,-308.35428241605405,-35.67832929547876,0.028963764521917422,0.00018829778231807323,8.824043849850883e-05,1,Eindhoven
2104338264,42677321,509.98396400617924,3,3,493.8414680218557,-89.54439586028457,0.01761307718825236,0.00018829778231807323,0.00014919108104852262,0,Eindhoven
42677107,42677321,5.775877742906111,4,3,2.8174963367637247,5.050184971652925,1.770988269757847,0.0001536776657359954,0.00014919108104852262,1,Eindhoven
42677107,42675066,144.28203823596436,4,4,118.70992260193452,-82.2950426414609,0.11013061348996976,0.0001536776657359954,0.00012551807797512996,1,Eindhoven
42677107,42675517,73.64995855991312,4,3,-31.84236305055674,-66.4902782291174,0.16075025668458948,0.0001536776657359954,9.598286271854533e-05,1,Eindhoven
42663202,54744317,412.8898091339339,3,4,-402.1668657689588,81.3746346840635,0.028993224126755014,0.00025955633347108227,9.486998402832877e-05,1,Eindhoven
42663202,5229130127,345.9431896808669,3,4,271.9578439190518,-209.7539892429486,0.034587795226757756,0.00025955633347108227,9.077254808378759e-05,1,Eindhoven
26627755,54744317,9.644442838338641,3,4,9.639678300358355,-0.8187974197790027,1.1273488131082803,4.8887610744581686e-05,9.486998402832877e-05,1,Eindhoven
26627755,42665638,58.87242093081392,3,3,-58.49577766179573,-3.3578199287876487,0.15031962730219356,4.8887610744581686e-05,0.00011389005225056825,1,Eindhoven
26627755,26905875,30.57882481083211,3,3,6.267526362789795,29.422847443260252,0.2850011060865329,4.8887610744581686e-05,0.00014621350436649254,1,Eindhoven
54744317,26905875,31.32411828350373,4,3,-3.3721519375685602,30.241644863039255,0.37123982454067656,9.486998402832877e-05,0.00014621350436649254,0,Eindhoven
54744317,42665371,11.833032261054829,4,4,-6.4999717336613685,-9.90564792137593,1.2467824964919754,9.486998402832877e-05,5.689821406319395e-05,1,Eindhoven
42665638,12044114288,144.5410901052113,3,3,-144.69457692780998,9.087600395083427,0.061838206608827245,0.00011389005225056825,0.00014665284642511166,1,Eindhoven
42665638,42665371,61.93385558961553,3,4,61.635484228492714,-7.366625412367284,0.19067638376155796,0.00011389005225056825,5.689821406319395e-05,0,Eindhoven
26807751,42658998,73.35950801730756,1,3,-27.40658750385046,-68.03932271525264,0.040344538042152385,3.37159868500022e-05,0.00022014597099873545,1,Eindhoven
42658998,42653225,430.9568693027065,3,3,365.94118385063484,-206.9009043769911,0.020835413532208434,0.00022014597099873545,0.0003329682849225472,1,Eindhoven
42658998,42658008,436.8188554847646,3,3,-421.25375037791673,-45.70658381469548,0.020556446775310676,0.00022014597099873545,0.00016828958345569583,1,Eindhoven
26905875,2104233111,487.2050510363672,3,4,8.834857214358635,487.27066908963025,0.024579835818015944,0.00014621350436649254,0.0002540993340402472,1,Eindhoven
2104233111,2104312019,6.534723024703455,4,3,-1.4615793970879167,6.37332362215966,1.5926265584888286,0.0002540993340402472,0.00020854903216762155,1,Eindhoven
2104233111,2063351850,365.1484130343864,4,3,365.81814203655813,18.187622503377497,0.03277359554982704,0.0002540993340402472,0.00011151864733216998,0,Eindhoven
2104233111,2139948866,125.7255685599711,4,3,-125.9499752309639,-2.6456589503213763,0.0946928085339082,0.0002540993340402472,6.323457900817613e-05,0,Eindhoven
27386665,42709022,17.983084713083024,1,3,17.98994017462246,1.3330230312421918,0.15803543235164613,2.829807832995104e-05,0.00018731779149818264,1,Eindhoven
42709022,42710948,80.77933270731572,3,3,2.2060539686353877,80.79076678398997,0.110052255283258,0.00018731779149818264,0.00015491573727824647,1,Eindhoven
42709022,42709392,208.9186538696552,3,3,167.55019188986626,14.183957904577255,0.04287375054142816,0.00018731779149818264,0.0001922618906685441,0,Eindhoven
29321863,42574770,174.470780604838,3,3,27.97379597730469,-172.31283744703978,0.05129059076945746,0.00012922914921552215,0.00015902595519589236,1,Eindhoven
29321863,42578786,20.249359461005998,3,3,19.90800243592821,4.028612260706723,0.42354217860145876,0.00012922914921552215,7.852537388747766e-05,1,Eindhoven
29321863,42578583,52.6951535615732,3,3,-51.809826126671396,-10.469009943306446,0.16761289246858263,0.00012922914921552215,0.00012577286938317812,1,Eindhoven
42574770,42574768,67.79302733800913,3,3,-67.82211717404425,-0.6061598947271705,0.13082721241179296,0.00015902595519589236,0.00012323478613950203,1,Eindhoven
42574770,42575012,65.12413364282006,3,4,63.51524447684642,13.840686182491481,0.18147685782652206,0.00015902595519589236,0.00021487916717136463,1,Eindhoven
42578786,42578889,32.498789765845444,3,3,31.605671599390917,7.978159918449819,0.268666422366583,7.852537388747766e-05,0.0001576073154051819,1,Eindhoven
42578786,42580621,77.70533238297575,3,4,-5.001738435705192,77.58485557232052,0.15246743310362593,7.852537388747766e-05,0.00020830213390252728,1,Eindhoven
42578583,42578582,20.903486552234334,3,3,-20.942624359740876,-1.035713231191039,0.41089348851093876,0.00012577286938317812,7.557264916476441e-05,1,Eindhoven
42578583,42574768,163.1823581876568,3,3,11.961504929931834,-162.4499873984605,0.05481709545012869,0.00012577286938317812,0.00012323478613950203,1,Eindhoven
29365651,10869222376,12.584313034567725,3,3,12.382132873288356,0.4331948645412922,0.662528902057681,9.531262033815081e-05,3.7480324354082384e-05,0,Eindhoven
29365651,10869222373,11.02497002420897,3,4,9.85325012775138,4.376686092466116,0.9979234855339597,9.531262033815081e-05,4.322859242071003e-05,1,Eindhoven
29365651,42569416,156.07229638180294,3,4,-152.4871654822491,-34.727762173861265,0.07639794079810892,9.531262033815081e-05,0.00021838425540379028,0,Eindhoven
10869222376,42569153,59.071470545368896,3,3,50.0896241083974,-27.991845674812794,0.14982153621830785,3.7480324354082384e-05,0.00019469798849902425,0,Eindhoven
10869222376,10869222373,4.6790756375145275,3,4,-2.5288827455369756,3.9434912279248238,2.113019928935451,3.7480324354082384e-05,4.322859242071003e-05,1,Eindhoven
10869222373,10869222372,5.329487414712601,4,3,5.158819362637587,1.4003452947363257,1.8958881207515408,4.322859242071003e-05,0.00012298866792157396,1,Eindhoven
10869222373,42570489,13.671746737668098,4,3,-5.018342875875533,12.652719271369278,0.8178985239154462,4.322859242071003e-05,0.00012563196494442522,1,Eindhoven
29532629,3809072264,138.9632332020653,2,3,-93.3648869843455,-98.65649047121406,0.04286840095596951,0.00014802920388933894,0.0001285528794041247,1,Eindhoven
29532629,29532632,88.25462112198962,2,1,-9.05012462346349,-83.98102974705398,0.022407803370387745,0.00014802920388933894,6.852241809665507e-05,1,Eindhoven
3809072264,42671899,36.889968825048115,3,4,-0.8923088771989569,-35.83150548115373,0.3167065155267982,0.0001285528794041247,0.0002130472263551788,0,Eindhoven
3809072264,8645314630,34.284610761999595,3,3,6.0261437215376645,-33.7672168686986,0.25506870575125384,0.0001285528794041247,5.137996795410007e-05,1,Eindhoven
29653304,42572668,22.071856210390756,3,3,-7.543753252946772,20.748084236867726,0.39008564884981883,0.00014918528594486767,5.058297453040736e-05,1,Eindhoven
29653304,42573982,148.97651803962754,3,3,123.57543183024973,78.48176482785493,0.060009394254785776,0.00014918528594486767,0.0002013144715742451,1,Eindhoven
29653304,42571185,93.84122045900168,3,3,-90.09427998040337,-27.209529313258827,0.094895446900017,0.00014918528594486767,0.00010427094700294246,1,Eindhoven
42572668,42572667,21.029705558989736,3,3,-20.35912745061796,-5.515241565182805,0.40853927783557414,5.058297453040736e-05,0.00012593548271354978,1,Eindhoven
42572668,42572953,35.294933001389026,3,3,33.55436389846727,11.275849641300738,0.24796849741134844,5.058297453040736e-05,0.00014619980103216856,1,Eindhoven
42573982,42579019,221.1297245085006,3,3,65.90233276155777,209.4713871916756,0.04051686472809533,0.0002013144715742451,0.00013355162251993264,1,Eindhoven
42573982,42572568,36.14620353625598,3,3,24.642054526717402,-26.33057219348848,0.24228586351269216,0.0002013144715742451,7.889229322799553e-05,1,Eindhoven
42571185,6817370222,29.56157025216013,3,3,-29.162504210253246,-5.370049837976694,0.29448748626925897,0.00010427094700294246,0.0001194449037320646,0,Eindhoven
42571185,6817370223,29.30730159805252,3,4,-27.625033018994145,-10.03745647892356,0.3959441905831397,0.00010427094700294246,0.0001765447598254337,1,Eindhoven
29653307,42577055,213.89951879335342,3,3,-62.713803998427466,204.65545753389597,0.04188003793835558,0.00016535908003178736,0.0001446294843556321,1,Eindhoven
29653307,59933913,114.71329213696393,3,3,-103.56834178208373,8.84583570342511,0.07777844562012079,0.00016535908003178736,0.00016064499660841815,1,Eindhoven
29653307,42572349,64.87563611222876,3,3,62.24128399067558,18.96642983518541,0.13662107163059778,0.00016535908003178736,0.0001329274143701019,1,Eindhoven
42577055,42576704,67.10679894298082,3,3,-64.39717999158893,-19.57284788414836,0.1321453972243626,0.0001446294843556321,0.00016456071245125127,1,Eindhoven
42577055,42577338,67.70671506877554,3,4,64.95226149691734,19.815264858305454,0.17465541742154286,0.0001446294843556321,0.0001567710477485501,1,Eindhoven
59933913,1266416896,22.58086690463326,3,1,-22.340694121667184,3.1900139255449176,0.1272217858712628,0.00016064499660841815,2.852101654841457e-05,1,Eindhoven
59933913,42576704,184.17467580726492,3,3,-23.54264220793266,176.2367739463225,0.04860275823767315,0.00016064499660841815,0.00016456071245125127,1,Eindhoven
42572349,42572667,59.4007167588802,3,3,57.03103019518312,17.230864718556404,0.14900485429548826,0.0001329274143701019,0.00012593548271354978,1,Eindhoven
